序号,市发布名称,经度,纬度,具体地址
1,荔湾西村,113.2347,23.1422,荔湾区西湾路1号
2,海珠宝岗,113.2612,23.105,海珠区南村路32号
3,公园前,113.2597,23.1331,越秀区吉祥路95号
4,天河体育西,113.3208,23.1323,天河区体育西横街187号
5,越秀麓湖,113.2765,23.1544,越秀区麓湖路11号大院
6,海珠赤沙,113.3479,23.0916,海珠区仑头路21号
7,黄埔大沙地,113.4332,23.105,黄埔区大沙西路5号
8,番禺市桥,113.3516,22.9477,番禺区市桥镇康乐路116号
9,花都新华,113.2146,23.3917,花都区新华镇云山大道65号
10,黄埔镇龙,113.5618,23.312,黄埔区镇龙康大教育园
11,从化良口,113.7858,23.7478,从化区105国道彩虹桥
12,从化街口,113.5717,23.5491,从化区从化中学
13,花都梯面,113.2902,23.5544,花都区梯面小学
14,白云竹料,113.3472,23.3692,白云区竹料大街116号
15,白云嘉禾,113.2981,23.237,白云区荟贤路1号
16,增城荔城,113.8051,23.2614,增城区惠民路1号
17,黄埔科学城,113.4256,23.1716,黄埔区科学城神州路9号
18,番禺大学城,113.3942,23.0483,番禺区大学城中心南大街19号
19,南沙黄阁,113.4922,22.8168,南沙区黄阁镇麒麟中学
20,南沙街,113.5342,22.7896,南沙区南沙第一中学高中部
21,帽峰山,113.443,23.3035,白云区帽峰山风景区
22,花都花东,113.3344,23.4502,花都区花东镇花东中学
23,花都赤坭,113.0614,23.4408,花都区赤泥镇华南小学
24,增城派潭,113.7789,23.4931,增城区派潭镇镇政府
25,增城中新,113.6172,23.3197,增城区中新镇霞迳村村委
26,增城石滩,113.7931,23.1869,增城区石滩镇仙塘村村委
27,增城新塘,113.6139,23.1224,增城区新塘镇人民政府
28,白云江高,113.2181,23.2672,白云区江高镇爱国西路190号
29,白云石井,113.2383,23.2264,白云区白云湖街白云湖管理处
30,白云新市,113.2617,23.1725,白云区少年宫
31,白云山,113.3007,23.1932,白云区白云山风景区
32,黄埔永和,113.5472,23.2033,黄埔区广州开发区来安三街逸明居
33,黄埔西区,113.5256,23.0632,黄埔区广州开发区友谊路105号
35,凤凰山,113.3655,23.2315,天河区凤凰山
36,天河龙洞,113.3608,23.1988,天河区龙洞小学
37,天河五山,113.3531,23.1559,天河区华南农业大学
38,天河奥体,113.405,23.1467,天河区思源学校
39,荔湾芳村,113.2228,23.0785,荔湾区广东实验中学
40,海珠沙园,113.2604,23.0933,海珠区荔福路76号
41,海珠湖,113.3153,23.0761,海珠区海珠湖公园
42,番禺大石,113.2793,23.0299,番禺区东乡供水有限公司 
43,番禺南村,113.3739,23.0103,番禺区南村镇国泰路46号
44,番禺亚运城,113.4833,22.972,番禺区石楼镇莲港大道45号
45,番禺大夫山,113.3081,22.9543,番禺区番山西路688号
46,番禺沙湾,113.3368,22.909,番禺区沙湾中心小学
47,南沙榄核,113.3372,22.8357,南沙区广场路170号
48,南沙沙螺湾,113.5483,22.8211,南沙区南沙街沙螺湾村村委
49,南沙蒲州,113.6044,22.7737,南沙区港前大道南131号
50,南沙新垦,113.6331,22.6134,南沙区万顷沙镇十八涌
51,杨箕路边站,113.3011,23.1294,越秀区中山一路和共和路口交界
52,黄沙路边站,113.226,23.119,荔湾区黄沙大道127号
53,增城正果,113.8851,23.4134,大沙街道大沙地丰乐北路泰景中街121号
54,增城小楼,113.8271,23.38,黄埔街道港湾路237号
55,黄埔长岭,113.4983,23.2167,长岭街道长岭社区长岭路36号
56,黄埔萝岗,113.5044,23.1769,萝岗街道萝岗公路街168号
